Localidade;IPDM_EmpRenda;Renda_PC;IPDM_Saude;IDHM_Long;IDHM_Educ
Tunas do Paraná;0,519;424,76;0,3221;0,801;0,444
Tuneiras do Oeste;0,3344;486,49;0,8493;0,805;0,629
Tupãssi;0,4256;694,88;0,7947;0,83;0,649
Turvo;0,431;504,03;0,6559;0,828;0,549
Ubiratã;0,435;637,35;0,7295;0,854;0,669
Umuarama;0,5265;861,14;0,659;0,836;0,698
União da Vitória;0,5208;662,78;0,8078;0,837;0,68
Uniflor;0,397;583,94;0,8578;0,826;0,655
Uraí;0,3638;617,11;0,7796;0,821;0,655
Ventania;0,4541;394,24;0,3428;0,798;0,543
Vera Cruz do Oeste;0,3599;612,61;0,7812;0,811;0,601
Verê;0,3661;654,09;0,7747;0,84;0,626
Virmond;0,3613;650,02;0,647;0,848;0,628
Vitorino;0,491;691,65;0,7852;0,818;0,582
Wenceslau Braz;0,3719;570,29;0,6523;0,79;0,594
Xambrê;0,3558;629,15;0,6023;0,825;0,606
